url,name,sku
https://www.lowes.com//collections/Whirlpool-French-Door-Refrigerator-Electric-Range-Suite-in-Fingerprint-Resistant-Stainless-Steel/GR_399,Whirlpool French Door Refrigerator & Electric Range Suite in Fingerprint-Resistant Stainless Steel,GR_399
https://www.lowes.com//pd/Whirlpool-24-5-cu-ft-4-Door-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1000257811,Whirlpool 24.5-cu ft 4-Door 36-in French Door Refrigerator with Exterior Ice and Water Dispenser - Fingerprint Resistant Stainless Steel,1000257811
https://www.lowes.com//collections/Frigidaire-Side-by-Side-Refrigerator-Gas-Range-Suite-in-EasyCare-Stainless-Steel/GR_331,Frigidaire Side-by-Side Refrigerator & Gas Range Suite in EasyCare™ Stainless Steel,GR_331
https://www.lowes.com//pd/Frigidaire-25-5-cu-ft-Side-by-Side-Refrigerator-with-Ice-Maker-EasyCare-Stainless-Steel/1000245233,Frigidaire 25.5-cu ft Side-by-Side Refrigerator with Ice Maker (EasyCare Stainless Steel),1000245233
https://www.lowes.com//pd/EdgeStar-Quarter-Barrel-Keg-Black-Digital-Kegerator/1001301020,EdgeStar Quarter-Barrel Keg Black Digital Kegerator,1001301020
https://www.lowes.com//pd/Premium-Levella-34-Bottle-Capacity-Stainless-Steel-Wine-Chiller/1002550532,Premium Levella 34-Bottle Capacity Stainless Steel Wine Chiller,1002550532
https://www.lowes.com//pd/Avallon-140-Can-Capacity-5-7-cu-ft-Residential-Stainless-Steel-Beverage-Center/1001305178,Avallon 140-Can Capacity (5.7-cu ft) Residential Stainless Steel Beverage Center,1001305178
https://www.lowes.com//pd/MARVEL-Built-in-Double-Drawer-Refrigerator-Panel-Ready/1000639845,MARVEL 24-in Built-In 2 Drawer Refrigerator (Panel Ready),1000639845
https://www.lowes.com//pd/KitchenAid-20-8-cu-ft-Built-In-French-Door-Refrigerator-with-Ice-Maker-Stainless-Steel/50331731,KitchenAid 20.8-cu ft 3-Door 36-in Built-in French Door Refrigerator with Platinum Interior Design - Stainless Steel,50331731
https://www.lowes.com//collections/GE-Side-by-Side-Refrigerator-Gas-Range-Suite-in-Stainless-Steel/GR_321,GE Side by Side Refrigerator & Gas Range Suite in Stainless Steel,GR_321
https://www.lowes.com//collections/LG-French-Door-InstaView-Door-in-Door-Refrigerator-Electric-Range-Suite-in-Fingerprint-Resistant-Black-Stainless-Steel/GR_532,LG French Door InstaView™ Door-in-Door® Refrigerator & Electric Range Suite in Fingerprint-Resistant Black Stainless Steel,GR_532
https://www.lowes.com//collections/LG-French-Door-Refrigerator-Electric-Range-Suite-in-Stainless-Steel/GR_306,LG French Door Refrigerator & Electric Range Suite in Stainless Steel,GR_306
https://www.lowes.com//pd/LG-Craft-Ice-Smart-Wi-Fi-Enabled-23-5-cu-ft-Counter-Depth-French-Door-Refrigerator-with-Dual-Ice-Maker-and-Door-within-Door-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1001157718,LG Craft Ice Smart Wi-Fi Enabled 23.5-cu ft Counter-Depth French Door Refrigerator with Dual Ice Maker and Door within Door (Fingerprint-Resistant Stainless Steel) ENERGY STAR,1001157718
https://www.lowes.com//collections/Samsung-French-Door-Refrigerator-Gas-Range-Suite-in-Fingerprint-Resistant-Black-Stainless-Steel/GR_368,Samsung French Door Refrigerator & Gas Range Suite in Fingerprint-Resistant Black Stainless Steel,GR_368
https://www.lowes.com//pd/Samsung-27-cu-ft-French-Door-Refrigerator-with-Dual-Ice-Maker-Fingerprint-Resistant-Black-Stainless-Steel-ENERGY-STAR/1002683240,Samsung 27-cu ft French Door Refrigerator with Dual Ice Maker (Fingerprint-Resistant Black Stainless Steel) ENERGY STAR,1002683240
https://www.lowes.com//pd/Samsung-27-cu-ft-French-Door-Refrigerator-with-Dual-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1002683282,Samsung 27-cu ft French Door Refrigerator with Dual Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,1002683282
https://www.lowes.com//pd/Frigidaire-Gallery-21-7-cu-ft-Counter-depth-French-Door-Refrigerator-with-Dual-Ice-Maker-Smudge-Proof-Stainless-Steel-ENERGY-STAR/1000289721,Frigidaire Gallery 21.7-cu ft Counter-depth French Door Refrigerator with Dual Ice Maker (Smudge-Proof Stainless Steel) ENERGY STAR,1000289721
