Title,Brand,Category,URL,SKU
Samsung 22-cu ft Counter-Depth Side-by-Side Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,Samsung,Side-by-Side Refrigerators,https://www.lowes.com/pd/Samsung-22-cu-ft-Counter-Depth-Side-by-Side-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1002238202,1002238202
GE 23.2-cu ft Side-by-Side Refrigerator with Ice Maker (Stainless Steel) ENERGY STAR,GE,Side-by-Side Refrigerators,https://www.lowes.com/pd/GE-23-2-cu-ft-Side-by-Side-Refrigerator-with-Ice-Maker-Stainless-Steel-ENERGY-STAR/1000182343,1000182343
FORNO FONRO Moena 19.2-cu ft 4-Door French Door Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel),FORNO,French Door Refrigerators,https://www.lowes.com/pd/FORNO-FONRO-Moena-12-1-cu-ft-4-Door-French-Door-Refrigerator-with-Ice-Maker-Stainless-steel/1002982962,1002982962
Samsung 24.73-cu ft 4-Door French Door Refrigerator with Ice Maker (Stainless Steel) ENERGY STAR,Samsung,French Door Refrigerators,https://www.lowes.com/pd/Samsung-24-73-cu-ft-4-Door-French-Door-Refrigerator-with-Ice-Maker-Stainless-Steel-ENERGY-STAR/50143402,50143402
Amana 18.6-cu ft Bottom-Freezer Refrigerator (Stainless Steel),Amana,Bottom-Freezer Refrigerators,https://www.lowes.com/pd/Amana-18-6-cu-ft-Bottom-Freezer-Refrigerator-Stainless-Steel/1001006012,1001006012
BLACK+DECKER 2.5-cu ft Freestanding Mini Fridge Freezer Compartment (Stainless Look),BLACK+DECKER,Mini Fridges,https://www.lowes.com/pd/BLACK-DECKER-BCRK25V-Compact-Refrigerator-ENERGY-STAR-Single-Door-Mini-Fridge-with-Freezer-2-5-Cubic-Ft-VCM/1001465358,1001465358
BLACK+DECKER 1.7-cu ft Freestanding Mini Fridge Freezer Compartment (Stainless Look),BLACK+DECKER,Mini Fridges,https://www.lowes.com/pd/BLACK-DECKER-BCRK17V-Compact-Refrigerator-ENERGY-STAR-Single-Door-Mini-Fridge-with-Freezer-1-7-Cubic-Ft-VCM/1001465338,1001465338
Amana 22.1-cu ft Bottom-Freezer Refrigerator (Stainless Steel),Amana,Bottom-Freezer Refrigerators,https://www.lowes.com/pd/Amana-22-1-cu-ft-Bottom-Freezer-Refrigerator-Stainless-Steel/1001287718,1001287718
GE 17.5-cu ft Top-Freezer Refrigerator (Stainless Steel),GE,Top-Freezer Refrigerators,https://www.lowes.com/pd/GE-17-5-cu-ft-Top-Freezer-Refrigerator-Stainless-Steel/1001353872,1001353872
Samsung 11.3-cu ft Counter-Depth Bottom-Freezer Refrigerator (Fingerprint-Resistant Stainless Steel) ENERGY STAR,Samsung,Bottom-Freezer Refrigerators,https://www.lowes.com/pd/Samsung-11-3-cu-ft-Bottom-Freezer-Refrigerator-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1002949938,1002949938
LG Craft Ice Smart Wi-Fi Enabled 22.5-cu ft 4-Door Counter-Depth French Door Refrigerator with Dual Ice Maker and Door within Door (Fingerprint-Resistant Black Satinless Steel) ENERGY STAR,LG,French Door Refrigerators,https://www.lowes.com/pd/LG-Craft-Ice-Smart-Wi-Fi-Enabled-13-2-cu-ft-4-Door-French-Door-Refrigerator-with-Ice-Maker-with-and-Door-within-Door-PrintProof-Black-Satinless-Steel-ENERGY-STAR/1002951068,1002951068
LG Craft Ice Smart WI-FI Enabled 22.5-cu ft 4-Door Counter-Depth French Door Refrigerator with Dual Ice Maker and Door within Door (Fingerprint-Resistant Stainless Steel) ENERGY STAR,LG,French Door Refrigerators,https://www.lowes.com/pd/LG-Craft-Ice-Smart-WI-FI-Enabled-13-2-cu-ft-4-Door-French-Door-Refrigerator-with-Ice-Maker-with-and-Door-within-Door-PrintProof-Stainless-Steel-ENERGY-STAR/1002951096,1002951096
LG 21.8-cu ft French Door Refrigerator with Ice Maker (Stainless Steel) ENERGY STAR,LG,French Door Refrigerators,https://www.lowes.com/pd/LG-21-8-cu-ft-French-Door-Refrigerator-with-Ice-Maker-Stainless-Steel-ENERGY-STAR/1003113564,1003113564
"Summit Appliance ADA compliant 24-in Built-In/Freestanding 2 Drawer Refrigerator (Stainless Steel, with Panel-Ready Drawer Fronts)",Summit Appliance,Drawer Refrigerators,https://www.lowes.com/pd/Summit-Appliance-Summit-Classic-Collection-Built-in-Freestanding-Double-Drawer-Refrigerator-Stainless-steel-with-panel-ready-drawer-fronts/1003008892,1003008892
Summit Appliance 12.9-cu ft Counter-Depth Top-Freezer Refrigerator (Stainless Steel Doors and Black Cabinet),Summit Appliance,Top-Freezer Refrigerators,https://www.lowes.com/pd/Summit-Appliance-12-9-cu-ft-Top-Freezer-Refrigerator-Stainless-steel-doors-and-black-cabinet/1003008890,1003008890
Summit Appliance Professiol 16.4-cu ft Bottom-Freezer Refrigerator Single Ice Maker (Stainless Steel) ENERGY STAR,Summit Appliance,Bottom-Freezer Refrigerators,https://www.lowes.com/pd/Summit-Appliance-Professiol-16-4-cu-ft-Bottom-Freezer-Refrigerator-Single-Ice-Maker-Stainless-Steel-ENERGY-STAR/1003008878,1003008878
Whirlpool 19.6-cu ft 3-Door 30-in French Door Refrigerator with Ice Maker - Fingerprint Resistant Stainless Steel,Whirlpool,French Door Refrigerators,https://www.lowes.com/pd/Whirlpool-19-6-cu-ft-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel/1000374187,1000374187
GE 18.2-cu ft Top-Freezer Refrigerator (Stainless Steel),GE,Top-Freezer Refrigerators,https://www.lowes.com/pd/GE-18-2-cu-ft-Top-Freezer-Refrigerator-Stainless-Steel/1000349087,1000349087
Frigidaire 21.7-cu ft Counter-depth French Door Refrigerator with Ice Maker (Stainless Steel) ENERGY STAR,Frigidaire,French Door Refrigerators,https://www.lowes.com/pd/Frigidaire-21-7-cu-ft-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-Stainless-Steel-ENERGY-STAR/1000362389,1000362389
Whirlpool 5.1-cu ft Built-In/Freestanding Mini Fridge (Stainless Steel),Whirlpool,Mini Fridges,https://www.lowes.com/pd/Whirlpool-5-1-cu-ft-Built-In-Freestanding-Mini-Fridge-Stainless-Steel/1000366141,1000366141
Whirlpool 14.3-cu ft Top-Freezer Refrigerator with Optional Ice Maker Kit - Monochromatic Stainless Steel,Whirlpool,Top-Freezer Refrigerators,https://www.lowes.com/pd/Whirlpool-14-3-cu-ft-Top-Freezer-Refrigerator-Monochromatic-Stainless-Steel-ENERGY-STAR/1000373019,1000373019
Bosch 300 20.2-cu ft Counter-depth Side-by-Side Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,Bosch,Side-by-Side Refrigerators,https://www.lowes.com/pd/Bosch-300-20-2-cu-ft-Counter-depth-Side-by-Side-Refriger/1000379109,1000379109
GE 23.2-cu ft Side-by-Side Refrigerator with Ice Maker (Stainless Steel),GE,Side-by-Side Refrigerators,https://www.lowes.com/pd/GE-23-2-cu-ft-Side-by-Side-Refrigerator-with-Ice-Maker-Stainless-Steel/1000142961,1000142961
Fisher & Paykel 13.5-cu ft Counter-depth Bottom-Freezer Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,Fisher & Paykel,Bottom-Freezer Refrigerators,https://www.lowes.com/pd/Fisher-Paykel-13-5-cu-ft-Counter-depth-Bottom-Freezer-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1000750842,1000750842
Cafe Hot Water Dispenser 22.2-cu ft Counter-depth French Door Refrigerator with Ice Maker (Stainless Steel) ENERGY STAR,Cafe,French Door Refrigerators,https://www.lowes.com/pd/Cafe-Hot-Water-Dispenser-22-2-cu-ft-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-Stainless-Steel-ENERGY-STAR/1000842482,1000842482
Samsung Food Showcase 22.4-cu ft 4-Door Counter-depth French Door Refrigerator with Ice Maker and Door within Door (Fingerprint-Resistant Tuscan Stainless Steel) ENERGY STAR,Samsung,French Door Refrigerators,https://www.lowes.com/pd/Samsung-Food-Showcase-22-4-cu-ft-4-Door-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-and-Door-within-Door-Fingerprint-Resistant-Tuscan-Stainless-Steel-ENERGY-STAR/1000842140,1000842140
Bosch 800 11-cu ft Counter-depth Bottom-Freezer Refrigerator with Ice Maker (Stainless Steel) ENERGY STAR,Bosch,Bottom-Freezer Refrigerators,https://www.lowes.com/pd/Bosch-800-11-cu-ft-Counter-depth-Bottom-Freezer-Refriger/1000025525,1000025525
GE 22.5-cu ft Side-by-Side Refrigerator with Ice Maker (Stainless Steel),GE,Side-by-Side Refrigerators,https://www.lowes.com/pd/GE-22-5-cu-ft-Side-by-Side-Refrigerator-with-Ice-Maker-Stainless-Steel/50321475,50321475
KitchenAid 20.9-cu ft Bottom-Freezer Refrigerator with Ice Maker (Stainless Steel) ENERGY STAR,KitchenAid,Bottom-Freezer Refrigerators,https://www.lowes.com/pd/KitchenAid-20-9-cu-ft-Bottom-Freezer-Refrigerator-with-Ice-Maker-Stainless-Steel-ENERGY-STAR/50369478,50369478
Samsung Family Hub Family Hub 27.7-cu ft 4-Door French Door Refrigerator with Ice Maker (Fingerprint-Resistant Black Stainless Steel) ENERGY STAR,Samsung,French Door Refrigerators,https://www.lowes.com/pd/Samsung-Family-Hub-Family-Hub-27-7-cu-ft-4-Door-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Black-Stainless-Steel-ENERGY-STAR/1000948504,1000948504
KitchenAid 25-cu ft Built-In Side-by-Side Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel Finish) ENERGY STAR,KitchenAid,Side-by-Side Refrigerators,https://www.lowes.com/pd/KitchenAid-25-cu-ft-Built-In-Side-by-Side-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/999908713,999908713
KitchenAid 29.5-cu ft Built-In Side-by-Side Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel Finish) ENERGY STAR,KitchenAid,Side-by-Side Refrigerators,https://www.lowes.com/pd/KitchenAid-29-5-cu-ft-Built-In-Side-by-Side-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/999908711,999908711
KitchenAid 18.67-cu ft Bottom-Freezer Refrigerator (Stainless Steel) ENERGY STAR,KitchenAid,Bottom-Freezer Refrigerators,https://www.lowes.com/pd/KitchenAid-18-67-cu-ft-Bottom-Freezer-Refrigerator-Stainless-Steel-ENERGY-STAR/50426188,50426188
Whirlpool 25.8-cu ft 5-Door 36-in French Door Refrigerator with Ice Maker - Monochromatic Stainless Steel,Whirlpool,French Door Refrigerators,https://www.lowes.com/pd/Whirlpool-25-8-cu-ft-5-Door-French-Door-Refrigerator-with-Dual-Ice-Maker-Monochromatic-Stainless-Steel/50426136,50426136
LG Smart Wi-Fi Enabled 27.9-cu ft French Door Refrigerator with Ice Maker (Fingerprint-Resistant Black Stainless Steel) ENERGY STAR,LG,French Door Refrigerators,https://www.lowes.com/pd/LG-Smart-Wi-Fi-Enabled-27-9-cu-ft-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Black-Stainless-Steel-ENERGY-STAR/1000342993,1000342993
Samsung 17.5-cu ft Counter-depth French Door Refrigerator with Ice Maker (Fingerprint-Resistant Black Stainless Steel),Samsung,French Door Refrigerators,https://www.lowes.com/pd/Samsung-17-5-cu-ft-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Black-Stainless-Steel/1000341597,1000341597
Whirlpool 22.1-cu ft 3-Door 33-in French Door Refrigerator - Fingerprint Resistant Stainless Steel,Whirlpool,French Door Refrigerators,https://www.lowes.com/pd/Whirlpool-22-1-cu-ft-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1000455607,1000455607
Whirlpool 20.5-cu ft Counter-depth Side-by-Side Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel),Whirlpool,Side-by-Side Refrigerators,https://www.lowes.com/pd/Whirlpool-20-5-cu-ft-Counter-depth-Side-by-Side-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel/1000460273,1000460273
Whirlpool 19.6-cu ft 3-Door 30-in French Door Refrigerator with Contemporary Handle - Fingerprint Resistant Stainless Steel,Whirlpool,French Door Refrigerators,https://www.lowes.com/pd/Whirlpool-19-6-cu-ft-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel/1000460269,1000460269
Frigidaire Gallery 20.4-cu ft Top-Freezer Refrigerator (Smudge-Proof Stainless Steel),Frigidaire,Top-Freezer Refrigerators,https://www.lowes.com/pd/Frigidaire-Gallery-20-4-cu-ft-Top-Freezer-Refrigerator-Smudge-Proof-Stainless-Steel/1000446025,1000446025
Samsung Family Hub Wi-Fi Enabled Family Hub 22-cu ft 4-Door Counter-depth French Door Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,Samsung,French Door Refrigerators,https://www.lowes.com/pd/Samsung-Family-Hub-Wi-Fi-Enabled-Family-Hub-22-cu-ft-4-Door-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1000437527,1000437527
Frigidaire 27.6-cu ft French Door Refrigerator with Ice Maker (Stainless Steel) ENERGY STAR,Frigidaire,French Door Refrigerators,https://www.lowes.com/pd/Frigidaire-27-6-cu-ft-French-Door-Refrigerator-with-Ice-Maker-Stainless-Steel-ENERGY-STAR/1000276687,1000276687
Frigidaire Gallery 26.8-cu ft French Door Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,Frigidaire,French Door Refrigerators,https://www.lowes.com/pd/Frigidaire-Gallery-26-8-cu-ft-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1000484125,1000484125
KitchenAid 24.2-cu ft 3-Door 42-in Built-in French Door Refrigerator - Black Stainless Steel,KitchenAid,French Door Refrigerators,https://www.lowes.com/pd/KitchenAid-24-2-cu-ft-Built-In-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Black-Stainless-ENERGY-STAR/1000014973,1000014973
GE Profile 22.2-cu ft Counter-Depth French Door Refrigerator with Ice Maker and Door within Door (Fingerprint-Resistant Stainless Steel),GE,French Door Refrigerators,https://www.lowes.com/pd/GE-Profile-22-2-cu-ft-Counter-Depth-French-Door-Refrigerator-with-Ice-Maker-and-Door-within-Door-Fingerprint-Resistant-Stainless-Steel/1002619142,1002619142
GE Profile 27.8-cu ft French Door Refrigerator with Ice Maker and Door within Door (Fingerprint-Resistant Stainelss Steel),GE,French Door Refrigerators,https://www.lowes.com/pd/GE-Profile-27-8-cu-ft-French-Door-Refrigerator-with-Ice-Maker-and-Door-within-Door-Fingerprint-Resistant-Stainelss-Steel/1002619100,1002619100
GE Profile 22.2-cu ft Counter-Depth French Door Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,GE,French Door Refrigerators,https://www.lowes.com/pd/GE-Profile-22-2-cu-ft-Counter-Depth-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1002619072,1002619072
GE 21.9-cu ft Top-Freezer Refrigerator with Ice Maker (Stainless Steel) ENERGY STAR,GE,Top-Freezer Refrigerators,https://www.lowes.com/pd/GE-21-9-cu-ft-Top-Freezer-Refrigerator-with-Single-Ice-Maker-Stainless-Steel-ENERGY-STAR/1002541584,1002541584
GE 19.1-cu ft Top-Freezer Refrigerator with Ice Maker (Stainless Steel) ENERGY STAR,GE,Top-Freezer Refrigerators,https://www.lowes.com/pd/GE-19-1-cu-ft-Top-Freezer-Refrigerator-with-Single-Ice-Maker-Stainless-Steel-ENERGY-STAR/1002541680,1002541680
GE Garage Ready 19.1-cu ft Top-Freezer Refrigerator (Stainless Steel),GE,Top-Freezer Refrigerators,https://www.lowes.com/pd/GE-Garage-Ready-19-1-cu-ft-Top-Freezer-Refrigerator-Stainless-Steel/1002541648,1002541648
GE Profile 24.3-cu ft Side-by-Side Refrigerator with Ice Maker (Stainless Steel),GE,Side-by-Side Refrigerators,https://www.lowes.com/pd/GE-Profile-24-3-cu-ft-Side-by-Side-Refrigerator-with-Ice-Maker-Stainless-Steel/1002541568,1002541568
GE Profile 28.7-cu ft Counter-Depth Side-by-Side Refrigerator with Ice Maker (Stainless Steel),GE,Side-by-Side Refrigerators,https://www.lowes.com/pd/GE-Profile-28-7-cu-ft-Counter-Depth-Side-by-Side-Refrigerator-with-Ice-Maker-Stainless-Steel/1002541576,1002541576
Fisher & Paykel ActiveSmart 12.4-cu ft Freezerless Refrigerator (Stainless) ENERGY STAR,Fisher & Paykel,Freezerless Refrigerators,https://www.lowes.com/pd/Fisher-Paykel-ActiveSmart-12-4-cu-ft-Freezerless-Refrigerator-Stainless-ENERGY-STAR/1000731256,1000731256
Fisher & Paykel ActiveSmart 12.4-cu ft Freezerless Refrigerator (Stainless) ENERGY STAR,Fisher & Paykel,Freezerless Refrigerators,https://www.lowes.com/pd/Fisher-Paykel-ActiveSmart-12-4-cu-ft-Freezerless-Refrigerator-Stainless-ENERGY-STAR/1000731260,1000731260
Fisher & Paykel ActiveSmart 16.3-cu ft Freezerless Refrigerator (Stainless) ENERGY STAR,Fisher & Paykel,Freezerless Refrigerators,https://www.lowes.com/pd/Fisher-Paykel-ActiveSmart-16-3-cu-ft-Freezerless-Refrigerator-Stainless-ENERGY-STAR/1000731248,1000731248
Fisher & Paykel ActiveSmart 16.3-cu ft Freezerless Refrigerator (Stainless) ENERGY STAR,Fisher & Paykel,Freezerless Refrigerators,https://www.lowes.com/pd/Fisher-Paykel-ActiveSmart-16-3-cu-ft-Freezerless-Refrigerator-Stainless-ENERGY-STAR/1000731268,1000731268
Fisher & Paykel ActiveSmart 16.3-cu ft Freezerless Refrigerator (Stainless) ENERGY STAR,Fisher & Paykel,Freezerless Refrigerators,https://www.lowes.com/pd/Fisher-Paykel-ActiveSmart-16-3-cu-ft-Freezerless-Refrigerator-Stainless-ENERGY-STAR/1000731252,1000731252
Fisher & Paykel ActiveSmart 12.4-cu ft Freezerless Refrigerator (Stainless) ENERGY STAR,Fisher & Paykel,Freezerless Refrigerators,https://www.lowes.com/pd/Fisher-Paykel-ActiveSmart-12-4-cu-ft-Freezerless-Refrigerator-Stainless-ENERGY-STAR/1000731244,1000731244
Fisher & Paykel ActiveSmart 16.3-cu ft Freezerless Refrigerator (Stainless) ENERGY STAR,Fisher & Paykel,Freezerless Refrigerators,https://www.lowes.com/pd/Fisher-Paykel-ActiveSmart-16-3-cu-ft-Freezerless-Refrigerator-Stainless-ENERGY-STAR/1000731264,1000731264
